Imatest,5.1.36,,Random
File,OV13b10_AG8_ET5500_deadleaf_12M_40.raw
Run date,19-Mar-2026 14:55:22,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1673,1656
L R T B, 1194,2866,646,2301
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8171, 0.8164, 0.0090063, 1.0000000, 0.9909937,, 0.8171
 0.0098,   0.0098, 0.9183, 0.9304, 0.0090063, 0.2466358, 0.2376296,, 0.9183
 0.0177,   0.0177, 1.0000, 1.0000, 0.0011180, 0.1034781, 0.1023602,, 1.0000
 0.0256,   0.0256, 0.9676, 0.9656, 0.0003280, 0.0493583, 0.0490303,, 0.9676
 0.0335,   0.0335, 0.9574, 0.9559, 0.0002222, 0.0292518, 0.0290296,, 0.9574
 0.0413,   0.0413, 0.9320, 0.9323, 0.0002165, 0.0186254, 0.0184089,, 0.9320
 0.0492,   0.0492, 0.9042, 0.9062, 0.0001924, 0.0125999, 0.0124075,, 0.9042
 0.0571,   0.0571, 0.8969, 0.9002, 0.0001679, 0.0093428, 0.0091749,, 0.8969
 0.0649,   0.0649, 0.8558, 0.8618, 0.0001635, 0.0066660, 0.0065025,, 0.8558
 0.0728,   0.0728, 0.8214, 0.8301, 0.0001563, 0.0049527, 0.0047964,, 0.8214
 0.0807,   0.0807, 0.7833, 0.7942, 0.0001399, 0.0037118, 0.0035720,, 0.7833
 0.0886,   0.0886, 0.7636, 0.7794, 0.0001509, 0.0029803, 0.0028294,, 0.7636
 0.0964,   0.0964, 0.7324, 0.7491, 0.0001271, 0.0023300, 0.0022030,, 0.7324
 0.1043,   0.1043, 0.7103, 0.7319, 0.0001304, 0.0019070, 0.0017766,, 0.7103
 0.1122,   0.1122, 0.6780, 0.7039, 0.0001260, 0.0015293, 0.0014034,, 0.6780
 0.1201,   0.1201, 0.6582, 0.6878, 0.0001202, 0.0012775, 0.0011573,, 0.6582
 0.1279,   0.1279, 0.6438, 0.6766, 0.0001139, 0.0010911, 0.0009772,, 0.6438
 0.1358,   0.1358, 0.6304, 0.6704, 0.0001192, 0.0009520, 0.0008328,, 0.6304
 0.1437,   0.1437, 0.6034, 0.6501, 0.0001185, 0.0008010, 0.0006825,, 0.6034
 0.1516,   0.1516, 0.5890, 0.6436, 0.0001211, 0.0007065, 0.0005854,, 0.5890
 0.1594,   0.1594, 0.5494, 0.6149, 0.0001227, 0.0005836, 0.0004608,, 0.5494
 0.1673,   0.1673, 0.5489, 0.6130, 0.0001092, 0.0005274, 0.0004182,, 0.5489
 0.1752,   0.1752, 0.5301, 0.6029, 0.0001097, 0.0004658, 0.0003561,, 0.5301
 0.1831,   0.1831, 0.5174, 0.5935, 0.0001027, 0.0004137, 0.0003110,, 0.5174
 0.1909,   0.1909, 0.5088, 0.5964, 0.0001078, 0.0003845, 0.0002767,, 0.5088
 0.1988,   0.1988, 0.5041, 0.6016, 0.0001104, 0.0003611, 0.0002507,, 0.5041
 0.2067,   0.2067, 0.4920, 0.5866, 0.0000967, 0.0003179, 0.0002212,, 0.4920
 0.2146,   0.2146, 0.4627, 0.5740, 0.0001010, 0.0002827, 0.0001816,, 0.4627
 0.2224,   0.2224, 0.4707, 0.5832, 0.0000966, 0.0002716, 0.0001750,, 0.4707
 0.2303,   0.2303, 0.4592, 0.5797, 0.0000950, 0.0002505, 0.0001555,, 0.4592
 0.2382,   0.2382, 0.4596, 0.5837, 0.0000919, 0.0002376, 0.0001457,, 0.4596
 0.2461,   0.2461, 0.4405, 0.5783, 0.0000932, 0.0002187, 0.0001255,, 0.4405
