Imatest,5.1.36,,Random
File,OV13b10_AG1_ET40000_deadleaf_12M_1_denoised.raw
Run date,19-Mar-2026 16:08:31,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1673,1655
L R T B, 1194,2866,647,2301
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.231 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8151, 0.8162, 0.0100683, 1.0000000, 0.9899317,, 0.8151
 0.0098,   0.0098, 0.9020, 0.9182, 0.0100683, 0.2399622, 0.2298940,, 0.9020
 0.0177,   0.0177, 1.0000, 1.0000, 0.0007604, 0.1027793, 0.1020188,, 1.0000
 0.0256,   0.0256, 0.9664, 0.9642, 0.0001410, 0.0487786, 0.0486376,, 0.9664
 0.0335,   0.0335, 0.9501, 0.9477, 0.0000673, 0.0284972, 0.0284299,, 0.9501
 0.0413,   0.0413, 0.9272, 0.9252, 0.0000560, 0.0181930, 0.0181370,, 0.9272
 0.0492,   0.0492, 0.9010, 0.8986, 0.0000273, 0.0122896, 0.0122624,, 0.9010
 0.0571,   0.0571, 0.8840, 0.8819, 0.0000236, 0.0088847, 0.0088611,, 0.8840
 0.0649,   0.0649, 0.8314, 0.8299, 0.0000233, 0.0061230, 0.0060996,, 0.8314
 0.0728,   0.0728, 0.7954, 0.7938, 0.0000153, 0.0044872, 0.0044719,, 0.7954
 0.0807,   0.0807, 0.7505, 0.7493, 0.0000145, 0.0032739, 0.0032594,, 0.7505
 0.0886,   0.0886, 0.7203, 0.7198, 0.0000150, 0.0025182, 0.0025032,, 0.7203
 0.0964,   0.0964, 0.6832, 0.6827, 0.0000114, 0.0019173, 0.0019059,, 0.6832
 0.1043,   0.1043, 0.6565, 0.6563, 0.0000104, 0.0015192, 0.0015088,, 0.6565
 0.1122,   0.1122, 0.6252, 0.6257, 0.0000109, 0.0011970, 0.0011860,, 0.6252
 0.1201,   0.1201, 0.5938, 0.5951, 0.0000110, 0.0009476, 0.0009366,, 0.5938
 0.1279,   0.1279, 0.5609, 0.5634, 0.0000122, 0.0007497, 0.0007375,, 0.5609
 0.1358,   0.1358, 0.5457, 0.5481, 0.0000101, 0.0006308, 0.0006206,, 0.5457
 0.1437,   0.1437, 0.5103, 0.5141, 0.0000110, 0.0004966, 0.0004856,, 0.5103
 0.1516,   0.1516, 0.4855, 0.4894, 0.0000094, 0.0004049, 0.0003955,, 0.4855
 0.1594,   0.1594, 0.4546, 0.4598, 0.0000096, 0.0003234, 0.0003138,, 0.4546
 0.1673,   0.1673, 0.4377, 0.4434, 0.0000090, 0.0002735, 0.0002645,, 0.4377
 0.1752,   0.1752, 0.4081, 0.4152, 0.0000089, 0.0002189, 0.0002100,, 0.4081
 0.1831,   0.1831, 0.3872, 0.3951, 0.0000085, 0.0001817, 0.0001732,, 0.3872
 0.1909,   0.1909, 0.3690, 0.3786, 0.0000088, 0.0001535, 0.0001448,, 0.3690
 0.1988,   0.1988, 0.3588, 0.3703, 0.0000092, 0.0001356, 0.0001264,, 0.3588
 0.2067,   0.2067, 0.3379, 0.3505, 0.0000087, 0.0001125, 0.0001038,, 0.3379
 0.2146,   0.2146, 0.3234, 0.3381, 0.0000089, 0.0000972, 0.0000882,, 0.3234
 0.2224,   0.2224, 0.3171, 0.3322, 0.0000084, 0.0000874, 0.0000790,, 0.3171
 0.2303,   0.2303, 0.3007, 0.3173, 0.0000081, 0.0000744, 0.0000663,, 0.3007
 0.2382,   0.2382, 0.2918, 0.3097, 0.0000079, 0.0000663, 0.0000584,, 0.2918
 0.2461,   0.2461, 0.2820, 0.3015, 0.0000078, 0.0000589, 0.0000511,, 0.2820
 0.2539,   0.2539, 0.2777, 0.3004, 0.0000083, 0.0000549, 0.0000466,, 0.2777
 0.2618,   0.2618, 0.2632, 0.2892, 0.0000085, 0.0000479, 0.0000394,, 0.2632
 0.2697,   0.2697, 0.2588, 0.2854, 0.0000081, 0.0000440, 0.0000359,, 0.2588
 0.2776,   0.2776, 0.2577, 0.2871, 0.0000084, 0.0000421, 0.0000336,, 0.2577
 0.2854,   0.2854, 0.2519, 0.2806, 0.0000076, 0.0000380, 0.0000304,, 0.2519
 0.2933,   0.2933, 0.2468, 0.2766, 0.0000073, 0.0000350, 0.0000276,, 0.2468
 0.3012,   0.3012, 0.2382, 0.2714, 0.0000075, 0.0000319, 0.0000244,, 0.2382
 0.3091,   0.3091, 0.2372, 0.2743, 0.0000080, 0.0000310, 0.0000230,, 0.2372
 0.3169,   0.3169, 0.2339, 0.2770, 0.0000088, 0.0000301, 0.0000213,, 0.2339
 0.3248,   0.3248, 0.2310, 0.2694, 0.0000073, 0.0000271, 0.0000198,, 0.2310
 0.3327,   0.3327, 0.2339, 0.2729, 0.0000072, 0.0000265, 0.0000193,, 0.2339
 0.3406,   0.3406, 0.2266, 0.2726, 0.0000079, 0.0000252, 0.0000173,, 0.2266
 0.3484,   0.3484, 0.2269, 0.2715, 0.0000074, 0.0000239, 0.0000166,, 0.2269
 0.3563,   0.3563, 0.2281, 0.2780, 0.0000080, 0.0000240, 0.0000160,, 0.2281
 0.3642,   0.3642, 0.2291, 0.2836, 0.0000084, 0.0000239, 0.0000155,, 0.2291
 0.3721,   0.3721, 0.2290, 0.2807, 0.0000076, 0.0000225, 0.0000148,, 0.2290
 0.3799,   0.3799, 0.2299, 0.2867, 0.0000081, 0.0000225, 0.0000143,, 0.2299
