Imatest,5.1.36,,Random
File,OV13b10_AG15.5_ET2800_deadleaf_12M_60_denoised.raw
Run date,19-Mar-2026 16:14:23,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1669,1653
L R T B, 1194,2862,647,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8233, 0.8231, 0.0129087, 1.0000000, 0.9870913,, 0.8233
 0.0098,   0.0098, 0.9062, 0.9253, 0.0129087, 0.2393000, 0.2263913,, 0.9062
 0.0177,   0.0177, 1.0000, 1.0000, 0.0013564, 0.1005177, 0.0991613,, 1.0000
 0.0256,   0.0256, 0.9632, 0.9612, 0.0004484, 0.0474921, 0.0470436,, 0.9632
 0.0335,   0.0335, 0.9373, 0.9364, 0.0003185, 0.0272455, 0.0269270,, 0.9373
 0.0413,   0.0413, 0.9228, 0.9249, 0.0003201, 0.0177729, 0.0174528,, 0.9228
 0.0492,   0.0492, 0.8872, 0.8900, 0.0002314, 0.0117807, 0.0115493,, 0.8872
 0.0571,   0.0571, 0.8687, 0.8736, 0.0002085, 0.0085243, 0.0083158,, 0.8687
 0.0649,   0.0649, 0.8237, 0.8318, 0.0001970, 0.0060157, 0.0058188,, 0.8237
 0.0728,   0.0728, 0.7892, 0.7986, 0.0001626, 0.0044366, 0.0042740,, 0.7892
 0.0807,   0.0807, 0.7488, 0.7610, 0.0001482, 0.0032980, 0.0031499,, 0.7488
 0.0886,   0.0886, 0.7298, 0.7462, 0.0001491, 0.0026451, 0.0024959,, 0.7298
 0.0964,   0.0964, 0.6942, 0.7150, 0.0001440, 0.0020555, 0.0019115,, 0.6942
 0.1043,   0.1043, 0.6622, 0.6875, 0.0001377, 0.0016285, 0.0014908,, 0.6622
 0.1122,   0.1122, 0.6409, 0.6716, 0.0001370, 0.0013472, 0.0012102,, 0.6409
 0.1201,   0.1201, 0.6050, 0.6419, 0.0001332, 0.0010770, 0.0009438,, 0.6050
 0.1279,   0.1279, 0.5915, 0.6345, 0.0001326, 0.0009287, 0.0007961,, 0.5915
 0.1358,   0.1358, 0.5816, 0.6291, 0.0001271, 0.0008116, 0.0006845,, 0.5816
 0.1437,   0.1437, 0.5555, 0.6073, 0.0001182, 0.0006769, 0.0005586,, 0.5555
 0.1516,   0.1516, 0.5323, 0.5935, 0.0001200, 0.0005818, 0.0004618,, 0.5323
 0.1594,   0.1594, 0.5029, 0.5808, 0.0001312, 0.0005041, 0.0003728,, 0.5029
 0.1673,   0.1673, 0.4990, 0.5741, 0.0001141, 0.0004478, 0.0003337,, 0.4990
 0.1752,   0.1752, 0.4815, 0.5662, 0.0001139, 0.0003977, 0.0002838,, 0.4815
 0.1831,   0.1831, 0.4614, 0.5517, 0.0001073, 0.0003461, 0.0002389,, 0.4614
 0.1909,   0.1909, 0.4389, 0.5469, 0.0001141, 0.0003130, 0.0001989,, 0.4389
 0.1988,   0.1988, 0.4384, 0.5501, 0.0001091, 0.0002923, 0.0001832,, 0.4384
 0.2067,   0.2067, 0.4246, 0.5478, 0.0001094, 0.0002684, 0.0001590,, 0.4246
 0.2146,   0.2146, 0.4191, 0.5484, 0.0001059, 0.0002498, 0.0001439,, 0.4191
 0.2224,   0.2224, 0.4182, 0.5486, 0.0000993, 0.0002328, 0.0001334,, 0.4182
 0.2303,   0.2303, 0.3951, 0.5486, 0.0001061, 0.0002172, 0.0001111,, 0.3951
 0.2382,   0.2382, 0.3940, 0.5476, 0.0000991, 0.0002025, 0.0001034,, 0.3940
 0.2461,   0.2461, 0.3942, 0.5504, 0.0000947, 0.0001918, 0.0000970,, 0.3942
 0.2539,   0.2539, 0.3947, 0.5583, 0.0000939, 0.0001853, 0.0000914,, 0.3947
 0.2618,   0.2618, 0.3964, 0.5675, 0.0000935, 0.0001802, 0.0000868,, 0.3964
 0.2697,   0.2697, 0.3785, 0.5714, 0.0000977, 0.0001723, 0.0000746,, 0.3785
 0.2776,   0.2776, 0.3958, 0.5833, 0.0000926, 0.0001696, 0.0000770,, 0.3958
 0.2854,   0.2854, 0.3949, 0.5847, 0.0000886, 0.0001612, 0.0000725,, 0.3949
 0.2933,   0.2933, 0.3871, 0.5864, 0.0000875, 0.0001536, 0.0000660,, 0.3871
 0.3012,   0.3012, 0.3979, 0.6001, 0.0000864, 0.0001526, 0.0000662,, 0.3979
 0.3091,   0.3091, 0.3910, 0.6110, 0.0000896, 0.0001503, 0.0000607,, 0.3910
 0.3169,   0.3169, 0.4121, 0.6274, 0.0000866, 0.0001507, 0.0000642,, 0.4121
 0.3248,   0.3248, 0.4042, 0.6252, 0.0000838, 0.0001426, 0.0000588,, 0.4042
 0.3327,   0.3327, 0.4209, 0.6344, 0.0000792, 0.0001399, 0.0000608,, 0.4209
 0.3406,   0.3406, 0.4081, 0.6486, 0.0000851, 0.0001397, 0.0000545,, 0.4081
 0.3484,   0.3484, 0.4141, 0.6554, 0.0000826, 0.0001362, 0.0000537,, 0.4141
 0.3563,   0.3563, 0.4246, 0.6732, 0.0000835, 0.0001375, 0.0000540,, 0.4246
 0.3642,   0.3642, 0.4152, 0.6825, 0.0000859, 0.0001353, 0.0000494,, 0.4152
 0.3721,   0.3721, 0.4365, 0.6934, 0.0000815, 0.0001338, 0.0000523,, 0.4365
 0.3799,   0.3799, 0.4545, 0.7038, 0.0000778, 0.0001323, 0.0000544,, 0.4545
 0.3878,   0.3878, 0.4359, 0.7066, 0.0000799, 0.0001280, 0.0000481,, 0.4359
 0.3957,   0.3957, 0.4578, 0.7203, 0.0000768, 0.0001278, 0.0000509,, 0.4578
 0.4036,   0.4036, 0.4581, 0.7371, 0.0000796, 0.0001287, 0.0000490,, 0.4581
 0.4114,   0.4114, 0.4851, 0.7541, 0.0000767, 0.0001296, 0.0000529,, 0.4851
 0.4193,   0.4193, 0.5003, 0.7666, 0.0000748, 0.0001289, 0.0000542,, 0.5003
 0.4272,   0.4272, 0.5110, 0.7794, 0.0000740, 0.0001285, 0.0000545,, 0.5110
 0.4351,   0.4351, 0.5233, 0.8024, 0.0000762, 0.0001313, 0.0000551,, 0.5233
 0.4429,   0.4429, 0.5204, 0.8250, 0.0000813, 0.0001339, 0.0000526,, 0.5204
 0.4508,   0.4508, 0.5854, 0.8591, 0.0000760, 0.0001402, 0.0000642,, 0.5854
 0.4587,   0.4587, 0.5923, 0.8805, 0.0000788, 0.0001423, 0.0000635,, 0.5923
 0.4665,   0.4665, 0.6316, 0.9153, 0.0000788, 0.0001486, 0.0000698,, 0.6316
 0.4744,   0.4744, 0.6604, 0.9665, 0.0000865, 0.0001603, 0.0000738,, 0.6604
 0.4823,   0.4823, 0.7425, 1.0221, 0.0000832, 0.0001735, 0.0000903,, 0.7425
 0.4902,   0.4902, 0.8109, 1.1078, 0.0000930, 0.0001974, 0.0001043,, 0.8109
 0.4980,   0.4980, 0.9048, 1.2715, 0.0001260, 0.0002519, 0.0001258,, 0.9048

MTFnn C/P, Mean,  Seg 1,
MTF70 C/P,0.0952, 0.0952, 
MTF50 C/P,0.1653, 0.1653, 
MTF30 C/P,0.0000, 0.0000, 
MTF20 C/P,0.0000, 0.0000, 
MTF10 C/P,0.0000, 0.0000, 
MTFnnP C/P, Mean,  Seg 1,
MTF70P C/P,0.0952, 0.0952, 
MTF50P C/P,0.1653, 0.1653, 
MTF30P C/P,0.0000, 0.0000, 
MTF20P C/P,0.0000, 0.0000, 
MTF10P C/P,0.0000, 0.0000, 
Undersharpening %,31.687

Acutance (CPIQ), Region, 1 of 1
Print height ,Viewing dist (cm),Acutance
   40,  1.00,  0.00
   40,  2.00,  0.01
   40,  3.00,  0.01
   40,  4.00,  0.02
   40,  5.00,  0.03
   40,  6.00,  0.04
   40,  7.00,  0.05
   40,  8.00,  0.06
   40,  9.00,  0.07
   40, 10.00,  0.08
   40, 11.00,  0.09
   40, 12.00,  0.10
   40, 13.00,  0.11
