Imatest,5.1.36,,Random
File,OV13b10_AG15.5_ET2800_deadleaf_12M_60_denoised_A_model_mixup015.raw
Run date,24-Mar-2026 11:22:20,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1669,1652
L R T B, 1194,2862,648,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.0981 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8751, 0.8743, 0.0141044, 1.0000000, 0.9858956,, 0.8751
 0.0098,   0.0098, 0.9427, 0.9653, 0.0141044, 0.2302123, 0.2161079,, 0.9427
 0.0177,   0.0177, 1.0000, 1.0000, 0.0014040, 0.0888592, 0.0874552,, 1.0000
 0.0256,   0.0256, 0.9096, 0.9071, 0.0003865, 0.0373539, 0.0369674,, 0.9096
 0.0335,   0.0335, 0.8264, 0.8252, 0.0002440, 0.0186891, 0.0184451,, 0.8264
 0.0413,   0.0413, 0.7493, 0.7501, 0.0001841, 0.0103344, 0.0101503,, 0.7493
 0.0492,   0.0492, 0.6678, 0.6680, 0.0000962, 0.0058690, 0.0057728,, 0.6678
 0.0571,   0.0571, 0.6048, 0.6059, 0.0000700, 0.0036257, 0.0035556,, 0.6048
 0.0649,   0.0649, 0.5300, 0.5329, 0.0000577, 0.0021834, 0.0021257,, 0.5300
 0.0728,   0.0728, 0.4616, 0.4644, 0.0000363, 0.0013268, 0.0012905,, 0.4616
 0.0807,   0.0807, 0.4028, 0.4071, 0.0000302, 0.0008350, 0.0008048,, 0.4028
 0.0886,   0.0886, 0.3556, 0.3618, 0.0000269, 0.0005500, 0.0005232,, 0.3556
 0.0964,   0.0964, 0.3082, 0.3153, 0.0000211, 0.0003535, 0.0003325,, 0.3082
 0.1043,   0.1043, 0.2688, 0.2773, 0.0000175, 0.0002343, 0.0002168,, 0.2688
 0.1122,   0.1122, 0.2354, 0.2467, 0.0000167, 0.0001608, 0.0001442,, 0.2354
 0.1201,   0.1201, 0.2077, 0.2203, 0.0000140, 0.0001122, 0.0000982,, 0.2077
 0.1279,   0.1279, 0.1869, 0.2004, 0.0000118, 0.0000820, 0.0000702,, 0.1869
 0.1358,   0.1358, 0.1701, 0.1866, 0.0000115, 0.0000632, 0.0000517,, 0.1701
 0.1437,   0.1437, 0.1546, 0.1714, 0.0000095, 0.0000477, 0.0000382,, 0.1546
 0.1516,   0.1516, 0.1432, 0.1618, 0.0000088, 0.0000383, 0.0000295,, 0.1432
 0.1594,   0.1594, 0.1275, 0.1519, 0.0000094, 0.0000305, 0.0000211,, 0.1275
 0.1673,   0.1673, 0.1228, 0.1444, 0.0000072, 0.0000250, 0.0000178,, 0.1228
 0.1752,   0.1752, 0.1139, 0.1377, 0.0000068, 0.0000208, 0.0000140,, 0.1139
 0.1831,   0.1831, 0.1086, 0.1320, 0.0000059, 0.0000175, 0.0000117,, 0.1086
 0.1909,   0.1909, 0.1015, 0.1290, 0.0000060, 0.0000154, 0.0000094,, 0.1015
 0.1988,   0.1988, 0.0990, 0.1262, 0.0000054, 0.0000136, 0.0000082,, 0.0990
 0.2067,   0.2067, 0.0966, 0.1246, 0.0000050, 0.0000123, 0.0000073,, 0.0966
 0.2146,   0.2146, 0.0923, 0.1239, 0.0000051, 0.0000113, 0.0000062,, 0.0923
 0.2224,   0.2224, 0.0951, 0.1235, 0.0000044, 0.0000104, 0.0000061,, 0.0951
