Imatest,5.1.36,,Random
File,OV13b10_AG8_ET5500_deadleaf_12M_40_denoised_A_model_mixup08.raw
Run date,24-Mar-2026 11:21:08,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1668,1591
L R T B, 1195,2862,708,2298
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8274, 0.8267, 0.0091698, 1.0000000, 0.9908302,, 0.8274
 0.0098,   0.0098, 0.9370, 0.9494, 0.0091698, 0.2520368, 0.2428670,, 0.9370
 0.0177,   0.0177, 1.0000, 1.0000, 0.0010721, 0.1002174, 0.0991453,, 1.0000
 0.0256,   0.0256, 0.9694, 0.9668, 0.0002536, 0.0478132, 0.0475596,, 0.9694
 0.0335,   0.0335, 0.9471, 0.9454, 0.0001951, 0.0277053, 0.0275102,, 0.9471
 0.0413,   0.0413, 0.9017, 0.9019, 0.0001871, 0.0168752, 0.0166881,, 0.9017
 0.0492,   0.0492, 0.8688, 0.8703, 0.0001583, 0.0112492, 0.0110909,, 0.8688
 0.0571,   0.0571, 0.8421, 0.8444, 0.0001280, 0.0079556, 0.0078275,, 0.8421
 0.0649,   0.0649, 0.7952, 0.7994, 0.0001172, 0.0055526, 0.0054354,, 0.7952
 0.0728,   0.0728, 0.7482, 0.7548, 0.0001108, 0.0039634, 0.0038526,, 0.7482
 0.0807,   0.0807, 0.7033, 0.7121, 0.0001008, 0.0028878, 0.0027869,, 0.7033
 0.0886,   0.0886, 0.6773, 0.6901, 0.0001058, 0.0022607, 0.0021549,, 0.6773
 0.0964,   0.0964, 0.6441, 0.6589, 0.0000955, 0.0017440, 0.0016485,, 0.6441
 0.1043,   0.1043, 0.6185, 0.6362, 0.0000904, 0.0013938, 0.0013034,, 0.6185
 0.1122,   0.1122, 0.5895, 0.6112, 0.0000890, 0.0011154, 0.0010264,, 0.5895
 0.1201,   0.1201, 0.5646, 0.5886, 0.0000814, 0.0009054, 0.0008240,, 0.5646
 0.1279,   0.1279, 0.5457, 0.5719, 0.0000750, 0.0007543, 0.0006793,, 0.5457
 0.1358,   0.1358, 0.5294, 0.5645, 0.0000849, 0.0006531, 0.0005682,, 0.5294
 0.1437,   0.1437, 0.5113, 0.5497, 0.0000799, 0.0005542, 0.0004744,, 0.5113
 0.1516,   0.1516, 0.4949, 0.5410, 0.0000832, 0.0004832, 0.0004000,, 0.4949
 0.1594,   0.1594, 0.4635, 0.5159, 0.0000800, 0.0003975, 0.0003175,, 0.4635
 0.1673,   0.1673, 0.4584, 0.5115, 0.0000730, 0.0003552, 0.0002822,, 0.4584
 0.1752,   0.1752, 0.4407, 0.5017, 0.0000739, 0.0003121, 0.0002382,, 0.4407
 0.1831,   0.1831, 0.4319, 0.4949, 0.0000686, 0.0002784, 0.0002098,, 0.4319
 0.1909,   0.1909, 0.4215, 0.4931, 0.0000704, 0.0002543, 0.0001838,, 0.4215
 0.1988,   0.1988, 0.4135, 0.4965, 0.0000747, 0.0002379, 0.0001633,, 0.4135
