Imatest,5.1.36,,Random
File,OV13b10_AG15.5_ET2800_deadleaf_12M_60.raw
Run date,19-Mar-2026 14:55:22,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1669,1653
L R T B, 1194,2862,647,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8210, 0.8207, 0.0127521, 1.0000000, 0.9872479,, 0.8210
 0.0098,   0.0098, 0.9050, 0.9238, 0.0127521, 0.2398544, 0.2271022,, 0.9050
 0.0177,   0.0177, 1.0000, 1.0000, 0.0013619, 0.1010949, 0.0997330,, 1.0000
 0.0256,   0.0256, 0.9650, 0.9633, 0.0004728, 0.0479684, 0.0474956,, 0.9650
 0.0335,   0.0335, 0.9422, 0.9420, 0.0003617, 0.0277278, 0.0273661,, 0.9422
 0.0413,   0.0413, 0.9316, 0.9350, 0.0003790, 0.0182658, 0.0178869,, 0.9316
 0.0492,   0.0492, 0.9005, 0.9057, 0.0003014, 0.0122685, 0.0119671,, 0.9005
 0.0571,   0.0571, 0.8879, 0.8960, 0.0002826, 0.0090184, 0.0087358,, 0.8879
 0.0649,   0.0649, 0.8482, 0.8612, 0.0002801, 0.0064854, 0.0062054,, 0.8482
 0.0728,   0.0728, 0.8211, 0.8365, 0.0002419, 0.0048950, 0.0046531,, 0.8211
 0.0807,   0.0807, 0.7838, 0.8035, 0.0002267, 0.0036984, 0.0034717,, 0.7838
 0.0886,   0.0886, 0.7703, 0.7962, 0.0002323, 0.0030288, 0.0027965,, 0.7703
 0.0964,   0.0964, 0.7361, 0.7686, 0.0002277, 0.0023891, 0.0021614,, 0.7361
 0.1043,   0.1043, 0.7066, 0.7455, 0.0002191, 0.0019262, 0.0017071,, 0.7066
 0.1122,   0.1122, 0.6885, 0.7352, 0.0002188, 0.0016236, 0.0014049,, 0.6885
 0.1201,   0.1201, 0.6548, 0.7098, 0.0002123, 0.0013245, 0.0011122,, 0.6548
 0.1279,   0.1279, 0.6464, 0.7085, 0.0002083, 0.0011648, 0.0009564,, 0.6464
 0.1358,   0.1358, 0.6403, 0.7083, 0.0002005, 0.0010348, 0.0008343,, 0.6403
 0.1437,   0.1437, 0.6189, 0.6914, 0.0001849, 0.0008822, 0.0006974,, 0.6189
 0.1516,   0.1516, 0.5969, 0.6825, 0.0001899, 0.0007738, 0.0005839,, 0.5969
 0.1594,   0.1594, 0.5699, 0.6756, 0.0002044, 0.0006860, 0.0004816,, 0.5699
 0.1673,   0.1673, 0.5714, 0.6721, 0.0001770, 0.0006172, 0.0004401,, 0.5714
 0.1752,   0.1752, 0.5577, 0.6697, 0.0001768, 0.0005596, 0.0003828,, 0.5577
 0.1831,   0.1831, 0.5408, 0.6589, 0.0001667, 0.0004967, 0.0003301,, 0.5408
 0.1909,   0.1909, 0.5165, 0.6575, 0.0001780, 0.0004550, 0.0002770,, 0.5165
 0.1988,   0.1988, 0.5228, 0.6666, 0.0001698, 0.0004317, 0.0002619,, 0.5228
 0.2067,   0.2067, 0.5083, 0.6671, 0.0001710, 0.0004003, 0.0002293,, 0.5083
 0.2146,   0.2146, 0.5033, 0.6695, 0.0001657, 0.0003745, 0.0002088,, 0.5033
 0.2224,   0.2224, 0.5064, 0.6727, 0.0001552, 0.0003520, 0.0001968,, 0.5064
 0.2303,   0.2303, 0.4782, 0.6733, 0.0001653, 0.0003290, 0.0001637,, 0.4782
 0.2382,   0.2382, 0.4783, 0.6738, 0.0001550, 0.0003083, 0.0001532,, 0.4783
 0.2461,   0.2461, 0.4814, 0.6793, 0.0001482, 0.0002938, 0.0001456,, 0.4814
 0.2539,   0.2539, 0.4807, 0.6881, 0.0001468, 0.0002832, 0.0001364,, 0.4807
 0.2618,   0.2618, 0.4847, 0.7003, 0.0001456, 0.0002760, 0.0001305,, 0.4847
 0.2697,   0.2697, 0.4608, 0.7043, 0.0001521, 0.0002632, 0.0001112,, 0.4608
 0.2776,   0.2776, 0.4847, 0.7211, 0.0001445, 0.0002606, 0.0001162,, 0.4847
 0.2854,   0.2854, 0.4828, 0.7225, 0.0001385, 0.0002475, 0.0001090,, 0.4828
 0.2933,   0.2933, 0.4747, 0.7259, 0.0001368, 0.0002367, 0.0000998,, 0.4747
 0.3012,   0.3012, 0.4871, 0.7422, 0.0001350, 0.0002348, 0.0000997,, 0.4871
 0.3091,   0.3091, 0.4767, 0.7553, 0.0001402, 0.0002310, 0.0000908,, 0.4767
 0.3169,   0.3169, 0.5057, 0.7762, 0.0001348, 0.0002320, 0.0000972,, 0.5057
 0.3248,   0.3248, 0.4956, 0.7740, 0.0001308, 0.0002197, 0.0000889,, 0.4956
 0.3327,   0.3327, 0.5140, 0.7836, 0.0001236, 0.0002148, 0.0000911,, 0.5140
 0.3406,   0.3406, 0.4984, 0.8018, 0.0001328, 0.0002146, 0.0000818,, 0.4984
 0.3484,   0.3484, 0.5074, 0.8111, 0.0001288, 0.0002099, 0.0000810,, 0.5074
 0.3563,   0.3563, 0.5198, 0.8336, 0.0001307, 0.0002120, 0.0000813,, 0.5198
 0.3642,   0.3642, 0.5072, 0.8432, 0.0001336, 0.0002077, 0.0000741,, 0.5072
 0.3721,   0.3721, 0.5350, 0.8580, 0.0001271, 0.0002061, 0.0000791,, 0.5350
 0.3799,   0.3799, 0.5575, 0.8702, 0.0001210, 0.0002034, 0.0000824,, 0.5575
 0.3878,   0.3878, 0.5284, 0.8729, 0.0001254, 0.0001965, 0.0000710,, 0.5284
 0.3957,   0.3957, 0.5600, 0.8903, 0.0001197, 0.0001963, 0.0000766,, 0.5600
 0.4036,   0.4036, 0.5585, 0.9102, 0.0001241, 0.0001973, 0.0000733,, 0.5585
 0.4114,   0.4114, 0.5920, 0.9320, 0.0001198, 0.0001991, 0.0000792,, 0.5920
 0.4193,   0.4193, 0.6091, 0.9460, 0.0001167, 0.0001975, 0.0000808,, 0.6091
 0.4272,   0.4272, 0.6205, 0.9612, 0.0001157, 0.0001965, 0.0000808,, 0.6205
 0.4351,   0.4351, 0.6360, 0.9891, 0.0001188, 0.0002007, 0.0000818,, 0.6360
 0.4429,   0.4429, 0.6256, 1.0128, 0.0001266, 0.0002030, 0.0000764,, 0.6256
 0.4508,   0.4508, 0.7037, 1.0522, 0.0001182, 0.0002115, 0.0000933,, 0.7037
 0.4587,   0.4587, 0.7048, 1.0749, 0.0001228, 0.0002133, 0.0000905,, 0.7048
 0.4665,   0.4665, 0.7483, 1.1142, 0.0001229, 0.0002215, 0.0000986,, 0.7483
 0.4744,   0.4744, 0.7755, 1.1694, 0.0001336, 0.0002360, 0.0001024,, 0.7755
 0.4823,   0.4823, 0.8679, 1.2287, 0.0001280, 0.0002522, 0.0001241,, 0.8679
 0.4902,   0.4902, 0.9380, 1.3201, 0.0001415, 0.0002818, 0.0001404,, 0.9380
 0.4980,   0.4980, 1.0373, 1.4926, 0.0001827, 0.0003490, 0.0001663,, 1.0373

