Imatest,5.1.36,,Random
File,OV13b10_AG4_ET11000_deadleaf_12M_20.raw
Run date,19-Mar-2026 14:55:22,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1673,1656
L R T B, 1194,2866,646,2301
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8258, 0.8264, 0.0081225, 1.0000000, 0.9918775,, 0.8258
 0.0098,   0.0098, 0.9294, 0.9415, 0.0081225, 0.2546123, 0.2464898,, 0.9294
 0.0177,   0.0177, 1.0000, 1.0000, 0.0006891, 0.1038228, 0.1031337,, 1.0000
 0.0256,   0.0256, 0.9918, 0.9912, 0.0002783, 0.0520434, 0.0517651,, 0.9918
 0.0335,   0.0335, 0.9922, 0.9919, 0.0001901, 0.0315201, 0.0313300,, 0.9922
 0.0413,   0.0413, 0.9500, 0.9499, 0.0001241, 0.0193667, 0.0192426,, 0.9500
 0.0492,   0.0492, 0.9386, 0.9388, 0.0000951, 0.0135465, 0.0134513,, 0.9386
 0.0571,   0.0571, 0.9145, 0.9156, 0.0000871, 0.0096785, 0.0095914,, 0.9145
 0.0649,   0.0649, 0.8781, 0.8802, 0.0000779, 0.0069589, 0.0068810,, 0.8781
 0.0728,   0.0728, 0.8437, 0.8477, 0.0000836, 0.0051650, 0.0050814,, 0.8437
 0.0807,   0.0807, 0.8046, 0.8103, 0.0000800, 0.0038649, 0.0037849,, 0.8046
 0.0886,   0.0886, 0.7886, 0.7951, 0.0000705, 0.0031031, 0.0030326,, 0.7886
 0.0964,   0.0964, 0.7528, 0.7618, 0.0000724, 0.0024105, 0.0023381,, 0.7528
 0.1043,   0.1043, 0.7340, 0.7438, 0.0000645, 0.0019704, 0.0019058,, 0.7340
 0.1122,   0.1122, 0.7011, 0.7148, 0.0000698, 0.0015767, 0.0015069,, 0.7011
 0.1201,   0.1201, 0.6801, 0.6947, 0.0000625, 0.0013035, 0.0012409,, 0.6801
 0.1279,   0.1279, 0.6567, 0.6746, 0.0000635, 0.0010845, 0.0010210,, 0.6567
 0.1358,   0.1358, 0.6493, 0.6706, 0.0000654, 0.0009527, 0.0008873,, 0.6493
 0.1437,   0.1437, 0.6110, 0.6366, 0.0000652, 0.0007683, 0.0007031,, 0.6110
 0.1516,   0.1516, 0.6022, 0.6262, 0.0000544, 0.0006693, 0.0006149,, 0.6022
 0.1594,   0.1594, 0.5767, 0.6082, 0.0000611, 0.0005712, 0.0005102,, 0.5767
 0.1673,   0.1673, 0.5613, 0.5966, 0.0000603, 0.0004996, 0.0004394,, 0.5613
 0.1752,   0.1752, 0.5409, 0.5792, 0.0000576, 0.0004300, 0.0003724,, 0.5409
 0.1831,   0.1831, 0.5291, 0.5683, 0.0000527, 0.0003794, 0.0003267,, 0.5291
 0.1909,   0.1909, 0.5123, 0.5600, 0.0000571, 0.0003390, 0.0002819,, 0.5123
 0.1988,   0.1988, 0.4956, 0.5536, 0.0000624, 0.0003058, 0.0002434,, 0.4956
 0.2067,   0.2067, 0.4843, 0.5414, 0.0000555, 0.0002709, 0.0002153,, 0.4843
 0.2146,   0.2146, 0.4635, 0.5272, 0.0000554, 0.0002385, 0.0001832,, 0.4635
 0.2224,   0.2224, 0.4623, 0.5283, 0.0000534, 0.0002230, 0.0001696,, 0.4623
 0.2303,   0.2303, 0.4440, 0.5209, 0.0000563, 0.0002023, 0.0001460,, 0.4440
 0.2382,   0.2382, 0.4352, 0.5098, 0.0000500, 0.0001813, 0.0001313,, 0.4352
 0.2461,   0.2461, 0.4211, 0.5056, 0.0000520, 0.0001672, 0.0001152,, 0.4211
 0.2539,   0.2539, 0.4303, 0.5170, 0.0000512, 0.0001642, 0.0001130,, 0.4303
 0.2618,   0.2618, 0.4071, 0.5048, 0.0000521, 0.0001473, 0.0000952,, 0.4071
 0.2697,   0.2697, 0.4071, 0.5095, 0.0000517, 0.0001415, 0.0000898,, 0.4071
 0.2776,   0.2776, 0.3975, 0.5103, 0.0000533, 0.0001341, 0.0000808,, 0.3975
 0.2854,   0.2854, 0.3977, 0.5088, 0.0000495, 0.0001261, 0.0000765,, 0.3977
 0.2933,   0.2933, 0.3800, 0.5015, 0.0000498, 0.0001160, 0.0000662,, 0.3800
 0.3012,   0.3012, 0.3895, 0.5139, 0.0000497, 0.0001156, 0.0000660,, 0.3895
 0.3091,   0.3091, 0.3909, 0.5117, 0.0000458, 0.0001089, 0.0000631,, 0.3909
 0.3169,   0.3169, 0.3865, 0.5259, 0.0000507, 0.0001094, 0.0000587,, 0.3865
 0.3248,   0.3248, 0.3871, 0.5275, 0.0000488, 0.0001048, 0.0000561,, 0.3871
 0.3327,   0.3327, 0.3773, 0.5211, 0.0000468, 0.0000976, 0.0000508,, 0.3773
 0.3406,   0.3406, 0.3903, 0.5369, 0.0000470, 0.0000988, 0.0000519,, 0.3903
 0.3484,   0.3484, 0.3898, 0.5435, 0.0000473, 0.0000968, 0.0000495,, 0.3898
 0.3563,   0.3563, 0.3955, 0.5575, 0.0000487, 0.0000974, 0.0000487,, 0.3955
 0.3642,   0.3642, 0.3807, 0.5591, 0.0000506, 0.0000938, 0.0000432,, 0.3807
 0.3721,   0.3721, 0.3975, 0.5576, 0.0000443, 0.0000894, 0.0000451,, 0.3975
 0.3799,   0.3799, 0.4130, 0.5752, 0.0000445, 0.0000913, 0.0000467,, 0.4130
 0.3878,   0.3878, 0.4075, 0.5749, 0.0000438, 0.0000875, 0.0000437,, 0.4075
 0.3957,   0.3957, 0.4033, 0.5829, 0.0000453, 0.0000865, 0.0000411,, 0.4033
 0.4036,   0.4036, 0.4265, 0.6020, 0.0000445, 0.0000887, 0.0000442,, 0.4265
 0.4114,   0.4114, 0.4198, 0.6044, 0.0000448, 0.0000860, 0.0000412,, 0.4198
 0.4193,   0.4193, 0.4457, 0.6262, 0.0000442, 0.0000889, 0.0000447,, 0.4457
 0.4272,   0.4272, 0.4443, 0.6317, 0.0000443, 0.0000872, 0.0000429,, 0.4443
 0.4351,   0.4351, 0.4731, 0.6591, 0.0000447, 0.0000915, 0.0000468,, 0.4731
 0.4429,   0.4429, 0.4842, 0.6879, 0.0000489, 0.0000962, 0.0000473,, 0.4842
 0.4508,   0.4508, 0.5137, 0.7083, 0.0000470, 0.0000985, 0.0000515,, 0.5137
 0.4587,   0.4587, 0.5555, 0.7381, 0.0000452, 0.0001033, 0.0000581,, 0.5555
 0.4665,   0.4665, 0.5814, 0.7743, 0.0000483, 0.0001099, 0.0000616,, 0.5814
 0.4744,   0.4744, 0.6224, 0.8108, 0.0000483, 0.0001166, 0.0000682,, 0.6224
 0.4823,   0.4823, 0.6770, 0.8643, 0.0000501, 0.0001282, 0.0000781,, 0.6770
 0.4902,   0.4902, 0.7815, 0.9575, 0.0000515, 0.0001523, 0.0001008,, 0.7815
 0.4980,   0.4980, 0.7407, 1.0851, 0.0001018, 0.0001895, 0.0000877,, 0.7407

MTFnn C/P, Mean,  Seg 1,
MTF70 C/P,0.1126, 0.1126, 
MTF50 C/P,0.1967, 0.1967, 
MTF30 C/P,0.0000, 0.0000, 
MTF20 C/P,0.0000, 0.0000, 
MTF10 C/P,0.0000, 0.0000, 
MTFnnP C/P, Mean,  Seg 1,
MTF70P C/P,0.1126, 0.1126, 
MTF50P C/P,0.1967, 0.1967, 
MTF30P C/P,0.0000, 0.0000, 
MTF20P C/P,0.0000, 0.0000, 
MTF10P C/P,0.0000, 0.0000, 
Undersharpening %,31.448

Acutance (CPIQ), Region, 1 of 1
Print height ,Viewing dist (cm),Acutance
   40,  1.00,  0.00
   40,  2.00,  0.01
   40,  3.00,  0.01
   40,  4.00,  0.02
   40,  5.00,  0.03
   40,  6.00,  0.04
   40,  7.00,  0.05
   40,  8.00,  0.06
   40,  9.00,  0.07
   40, 10.00,  0.09
   40, 11.00,  0.10
   40, 12.00,  0.11
