Imatest,5.1.36,,Random
File,OV13b10_AG8_ET5500_deadleaf_12M_40_denoised.raw
Run date,19-Mar-2026 16:10:47,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1668,1652
L R T B, 1194,2861,648,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.158 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8256, 0.8240, 0.0095771, 1.0000000, 0.9904229,, 0.8256
 0.0098,   0.0098, 0.9126, 0.9254, 0.0095771, 0.2381751, 0.2285979,, 0.9126
 0.0177,   0.0177, 1.0000, 1.0000, 0.0013236, 0.1000369, 0.0987133,, 1.0000
 0.0256,   0.0256, 0.9650, 0.9620, 0.0003363, 0.0472971, 0.0469608,, 0.9650
 0.0335,   0.0335, 0.9365, 0.9332, 0.0001690, 0.0269068, 0.0267378,, 0.9365
 0.0413,   0.0413, 0.9007, 0.8989, 0.0001551, 0.0167080, 0.0165529,, 0.9007
 0.0492,   0.0492, 0.8626, 0.8602, 0.0000865, 0.0109561, 0.0108696,, 0.8626
 0.0571,   0.0571, 0.8274, 0.8249, 0.0000539, 0.0075662, 0.0075124,, 0.8274
 0.0649,   0.0649, 0.7652, 0.7637, 0.0000476, 0.0050484, 0.0050008,, 0.7652
 0.0728,   0.0728, 0.7040, 0.7029, 0.0000343, 0.0034226, 0.0033882,, 0.7040
 0.0807,   0.0807, 0.6577, 0.6568, 0.0000258, 0.0024474, 0.0024216,, 0.6577
 0.0886,   0.0886, 0.6095, 0.6098, 0.0000247, 0.0017593, 0.0017345,, 0.6095
 0.0964,   0.0964, 0.5689, 0.5688, 0.0000169, 0.0012954, 0.0012785,, 0.5689
 0.1043,   0.1043, 0.5326, 0.5332, 0.0000151, 0.0009755, 0.0009604,, 0.5326
 0.1122,   0.1122, 0.4967, 0.4983, 0.0000144, 0.0007386, 0.0007242,, 0.4967
 0.1201,   0.1201, 0.4610, 0.4630, 0.0000121, 0.0005582, 0.0005461,, 0.4610
 0.1279,   0.1279, 0.4214, 0.4243, 0.0000111, 0.0004138, 0.0004026,, 0.4214
 0.1358,   0.1358, 0.3967, 0.4004, 0.0000102, 0.0003274, 0.0003172,, 0.3967
 0.1437,   0.1437, 0.3606, 0.3648, 0.0000087, 0.0002433, 0.0002346,, 0.3606
 0.1516,   0.1516, 0.3282, 0.3330, 0.0000076, 0.0001824, 0.0001748,, 0.3282
 0.1594,   0.1594, 0.2911, 0.2980, 0.0000077, 0.0001322, 0.0001245,, 0.2911
 0.1673,   0.1673, 0.2657, 0.2725, 0.0000062, 0.0001005, 0.0000943,, 0.2657
 0.1752,   0.1752, 0.2386, 0.2473, 0.0000061, 0.0000756, 0.0000694,, 0.2386
 0.1831,   0.1831, 0.2154, 0.2243, 0.0000052, 0.0000570, 0.0000519,, 0.2154
 0.1909,   0.1909, 0.1954, 0.2060, 0.0000050, 0.0000442, 0.0000393,, 0.1954
 0.1988,   0.1988, 0.1790, 0.1910, 0.0000047, 0.0000351, 0.0000304,, 0.1790
 0.2067,   0.2067, 0.1652, 0.1768, 0.0000039, 0.0000279, 0.0000240,, 0.1652
 0.2146,   0.2146, 0.1512, 0.1659, 0.0000041, 0.0000228, 0.0000187,, 0.1512
 0.2224,   0.2224, 0.1433, 0.1584, 0.0000037, 0.0000193, 0.0000156,, 0.1433
 0.2303,   0.2303, 0.1394, 0.1548, 0.0000034, 0.0000172, 0.0000138,, 0.1394
 0.2382,   0.2382, 0.1305, 0.1475, 0.0000033, 0.0000146, 0.0000113,, 0.1305
 0.2461,   0.2461, 0.1279, 0.1447, 0.0000030, 0.0000132, 0.0000102,, 0.1279
 0.2539,   0.2539, 0.1236, 0.1424, 0.0000031, 0.0000120, 0.0000089,, 0.1236
 0.2618,   0.2618, 0.1223, 0.1426, 0.0000031, 0.0000113, 0.0000082,, 0.1223
 0.2697,   0.2697, 0.1204, 0.1414, 0.0000030, 0.0000105, 0.0000075,, 0.1204
 0.2776,   0.2776, 0.1220, 0.1442, 0.0000030, 0.0000103, 0.0000073,, 0.1220
 0.2854,   0.2854, 0.1224, 0.1441, 0.0000028, 0.0000098, 0.0000069,, 0.1224
 0.2933,   0.2933, 0.1242, 0.1461, 0.0000027, 0.0000095, 0.0000068,, 0.1242
 0.3012,   0.3012, 0.1259, 0.1469, 0.0000025, 0.0000091, 0.0000066,, 0.1259
 0.3091,   0.3091, 0.1273, 0.1494, 0.0000025, 0.0000089, 0.0000064,, 0.1273
 0.3169,   0.3169, 0.1294, 0.1537, 0.0000027, 0.0000090, 0.0000063,, 0.1294
 0.3248,   0.3248, 0.1354, 0.1586, 0.0000026, 0.0000091, 0.0000066,, 0.1354
 0.3327,   0.3327, 0.1392, 0.1624, 0.0000025, 0.0000091, 0.0000066,, 0.1392
 0.3406,   0.3406, 0.1468, 0.1704, 0.0000026, 0.0000096, 0.0000070,, 0.1468
 0.3484,   0.3484, 0.1536, 0.1772, 0.0000026, 0.0000099, 0.0000074,, 0.1536
 0.3563,   0.3563, 0.1631, 0.1867, 0.0000026, 0.0000105, 0.0000079,, 0.1631
 0.3642,   0.3642, 0.1720, 0.1955, 0.0000026, 0.0000111, 0.0000084,, 0.1720
 0.3721,   0.3721, 0.1785, 0.2018, 0.0000026, 0.0000113, 0.0000087,, 0.1785
 0.3799,   0.3799, 0.1877, 0.2110, 0.0000026, 0.0000118, 0.0000092,, 0.1877
 0.3878,   0.3878, 0.1963, 0.2182, 0.0000024, 0.0000122, 0.0000097,, 0.1963
 0.3957,   0.3957, 0.2056, 0.2287, 0.0000026, 0.0000128, 0.0000102,, 0.2056
 0.4036,   0.4036, 0.2091, 0.2326, 0.0000026, 0.0000128, 0.0000102,, 0.2091
 0.4114,   0.4114, 0.2166, 0.2401, 0.0000026, 0.0000131, 0.0000105,, 0.2166
 0.4193,   0.4193, 0.2247, 0.2470, 0.0000024, 0.0000133, 0.0000109,, 0.2247
 0.4272,   0.4272, 0.2370, 0.2582, 0.0000024, 0.0000140, 0.0000117,, 0.2370
 0.4351,   0.4351, 0.2433, 0.2663, 0.0000025, 0.0000144, 0.0000119,, 0.2433
 0.4429,   0.4429, 0.2609, 0.2835, 0.0000026, 0.0000158, 0.0000132,, 0.2609
 0.4508,   0.4508, 0.2723, 0.2953, 0.0000027, 0.0000165, 0.0000138,, 0.2723
 0.4587,   0.4587, 0.2907, 0.3125, 0.0000026, 0.0000179, 0.0000152,, 0.2907
 0.4665,   0.4665, 0.3149, 0.3346, 0.0000025, 0.0000198, 0.0000173,, 0.3149
 0.4744,   0.4744, 0.3475, 0.3665, 0.0000026, 0.0000230, 0.0000204,, 0.3475
 0.4823,   0.4823, 0.3923, 0.4107, 0.0000028, 0.0000279, 0.0000251,, 0.3923
 0.4902,   0.4902, 0.4525, 0.4688, 0.0000028, 0.0000352, 0.0000324,, 0.4525
 0.4980,   0.4980, 0.5101, 0.5540, 0.0000078, 0.0000476, 0.0000398,, 0.5101

