Imatest,5.1.36,,Random
File,OV13b10_AG4_ET11000_deadleaf_12M_20_denoised_A_model_mixup025.raw
Run date,24-Mar-2026 11:23:32,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1667,1652
L R T B, 1195,2861,648,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.109 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8641, 0.8639, 0.0100497, 1.0000000, 0.9899503,, 0.8641
 0.0098,   0.0098, 0.9414, 0.9573, 0.0100497, 0.2319589, 0.2219092,, 0.9414
 0.0177,   0.0177, 1.0000, 1.0000, 0.0009713, 0.0910246, 0.0900533,, 1.0000
 0.0256,   0.0256, 0.9151, 0.9128, 0.0002228, 0.0387695, 0.0385466,, 0.9151
 0.0335,   0.0335, 0.8478, 0.8455, 0.0001089, 0.0201314, 0.0200225,, 0.8478
 0.0413,   0.0413, 0.7767, 0.7758, 0.0000945, 0.0113438, 0.0112493,, 0.7767
 0.0492,   0.0492, 0.7014, 0.6999, 0.0000424, 0.0066060, 0.0065635,, 0.7014
 0.0571,   0.0571, 0.6451, 0.6441, 0.0000318, 0.0042023, 0.0041705,, 0.6451
 0.0649,   0.0649, 0.5775, 0.5779, 0.0000316, 0.0026342, 0.0026027,, 0.5775
 0.0728,   0.0728, 0.5045, 0.5048, 0.0000186, 0.0016089, 0.0015903,, 0.5045
 0.0807,   0.0807, 0.4507, 0.4523, 0.0000184, 0.0010578, 0.0010394,, 0.4507
 0.0886,   0.0886, 0.4034, 0.4056, 0.0000151, 0.0007093, 0.0006941,, 0.4034
 0.0964,   0.0964, 0.3572, 0.3599, 0.0000118, 0.0004725, 0.0004607,, 0.3572
 0.1043,   0.1043, 0.3218, 0.3256, 0.0000113, 0.0003317, 0.0003204,, 0.3218
 0.1122,   0.1122, 0.2873, 0.2925, 0.0000105, 0.0002319, 0.0002214,, 0.2873
 0.1201,   0.1201, 0.2602, 0.2658, 0.0000087, 0.0001677, 0.0001590,, 0.2602
 0.1279,   0.1279, 0.2345, 0.2415, 0.0000082, 0.0001222, 0.0001139,, 0.2345
 0.1358,   0.1358, 0.2236, 0.2321, 0.0000082, 0.0001003, 0.0000921,, 0.2236
 0.1437,   0.1437, 0.2042, 0.2133, 0.0000070, 0.0000758, 0.0000687,, 0.2042
 0.1516,   0.1516, 0.1921, 0.2016, 0.0000062, 0.0000609, 0.0000547,, 0.1921
 0.1594,   0.1594, 0.1741, 0.1867, 0.0000066, 0.0000473, 0.0000407,, 0.1741
 0.1673,   0.1673, 0.1677, 0.1800, 0.0000056, 0.0000399, 0.0000343,, 0.1677
 0.1752,   0.1752, 0.1591, 0.1720, 0.0000051, 0.0000333, 0.0000282,, 0.1591
 0.1831,   0.1831, 0.1515, 0.1655, 0.0000049, 0.0000283, 0.0000234,, 0.1515
 0.1909,   0.1909, 0.1445, 0.1605, 0.0000048, 0.0000245, 0.0000196,, 0.1445
 0.1988,   0.1988, 0.1407, 0.1576, 0.0000046, 0.0000218, 0.0000172,, 0.1407
 0.2067,   0.2067, 0.1358, 0.1541, 0.0000045, 0.0000193, 0.0000148,, 0.1358
 0.2146,   0.2146, 0.1268, 0.1475, 0.0000044, 0.0000164, 0.0000120,, 0.1268
 0.2224,   0.2224, 0.1281, 0.1477, 0.0000039, 0.0000153, 0.0000114,, 0.1281
 0.2303,   0.2303, 0.1225, 0.1460, 0.0000042, 0.0000140, 0.0000097,, 0.1225
 0.2382,   0.2382, 0.1200, 0.1428, 0.0000038, 0.0000125, 0.0000087,, 0.1200
 0.2461,   0.2461, 0.1196, 0.1433, 0.0000037, 0.0000118, 0.0000081,, 0.1196
 0.2539,   0.2539, 0.1115, 0.1458, 0.0000048, 0.0000115, 0.0000066,, 0.1115
 0.2618,   0.2618, 0.1129, 0.1425, 0.0000039, 0.0000103, 0.0000064,, 0.1129
 0.2697,   0.2697, 0.1140, 0.1429, 0.0000036, 0.0000098, 0.0000062,, 0.1140
 0.2776,   0.2776, 0.1108, 0.1436, 0.0000038, 0.0000093, 0.0000055,, 0.1108
 0.2854,   0.2854, 0.1078, 0.1423, 0.0000037, 0.0000087, 0.0000049,, 0.1078
 0.2933,   0.2933, 0.1073, 0.1417, 0.0000035, 0.0000081, 0.0000046,, 0.1073
 0.3012,   0.3012, 0.1087, 0.1437, 0.0000034, 0.0000079, 0.0000045,, 0.1087
 0.3091,   0.3091, 0.1084, 0.1436, 0.0000033, 0.0000075, 0.0000042,, 0.1084
 0.3169,   0.3169, 0.1042, 0.1464, 0.0000037, 0.0000074, 0.0000037,, 0.1042
 0.3248,   0.3248, 0.1061, 0.1461, 0.0000034, 0.0000071, 0.0000037,, 0.1061
 0.3327,   0.3327, 0.1048, 0.1461, 0.0000033, 0.0000067, 0.0000034,, 0.1048
 0.3406,   0.3406, 0.1077, 0.1508, 0.0000034, 0.0000069, 0.0000035,, 0.1077
 0.3484,   0.3484, 0.1098, 0.1536, 0.0000034, 0.0000068, 0.0000034,, 0.1098
