Imatest,5.1.36,,Random
File,OV13b10_AG15.5_ET2800_deadleaf_12M_60_denoised_A_model_mixup04.raw
Run date,24-Mar-2026 11:19:08,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1669,1652
L R T B, 1194,2862,648,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.141 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8593, 0.8587, 0.0136267, 1.0000000, 0.9863733,, 0.8593
 0.0098,   0.0098, 0.9321, 0.9534, 0.0136267, 0.2328127, 0.2191859,, 0.9321
 0.0177,   0.0177, 1.0000, 1.0000, 0.0013731, 0.0921158, 0.0907427,, 1.0000
 0.0256,   0.0256, 0.9267, 0.9244, 0.0004012, 0.0402141, 0.0398130,, 0.9267
 0.0335,   0.0335, 0.8627, 0.8617, 0.0002679, 0.0211259, 0.0208580,, 0.8627
 0.0413,   0.0413, 0.8042, 0.8057, 0.0002283, 0.0123593, 0.0121310,, 0.8042
 0.0492,   0.0492, 0.7386, 0.7399, 0.0001382, 0.0074637, 0.0073255,, 0.7386
 0.0571,   0.0571, 0.6908, 0.6935, 0.0001109, 0.0049247, 0.0048138,, 0.6908
 0.0649,   0.0649, 0.6260, 0.6313, 0.0000998, 0.0031769, 0.0030771,, 0.6260
 0.0728,   0.0728, 0.5698, 0.5754, 0.0000720, 0.0021119, 0.0020398,, 0.5698
 0.0807,   0.0807, 0.5181, 0.5261, 0.0000643, 0.0014459, 0.0013816,, 0.5181
 0.0886,   0.0886, 0.4810, 0.4919, 0.0000616, 0.0010544, 0.0009928,, 0.4810
 0.0964,   0.0964, 0.4371, 0.4505, 0.0000544, 0.0007483, 0.0006938,, 0.4371
 0.1043,   0.1043, 0.4005, 0.4169, 0.0000497, 0.0005490, 0.0004993,, 0.4005
 0.1122,   0.1122, 0.3696, 0.3907, 0.0000495, 0.0004180, 0.0003685,, 0.3696
 0.1201,   0.1201, 0.3409, 0.3652, 0.0000454, 0.0003199, 0.0002745,, 0.3409
 0.1279,   0.1279, 0.3230, 0.3500, 0.0000417, 0.0002592, 0.0002175,, 0.3230
 0.1358,   0.1358, 0.3105, 0.3417, 0.0000410, 0.0002196, 0.0001786,, 0.3105
 0.1437,   0.1437, 0.2935, 0.3261, 0.0000361, 0.0001789, 0.0001428,, 0.2935
 0.1516,   0.1516, 0.2793, 0.3175, 0.0000363, 0.0001528, 0.0001164,, 0.2793
 0.1594,   0.1594, 0.2600, 0.3083, 0.0000391, 0.0001303, 0.0000913,, 0.2600
 0.1673,   0.1673, 0.2567, 0.3028, 0.0000333, 0.0001142, 0.0000809,, 0.2567
 0.1752,   0.1752, 0.2463, 0.2966, 0.0000321, 0.0001001, 0.0000680,, 0.2463
 0.1831,   0.1831, 0.2385, 0.2908, 0.0000297, 0.0000882, 0.0000585,, 0.2385
 0.1909,   0.1909, 0.2266, 0.2884, 0.0000313, 0.0000798, 0.0000485,, 0.2266
 0.1988,   0.1988, 0.2250, 0.2890, 0.0000298, 0.0000740, 0.0000442,, 0.2250
 0.2067,   0.2067, 0.2194, 0.2884, 0.0000293, 0.0000682, 0.0000389,, 0.2194
 0.2146,   0.2146, 0.2152, 0.2894, 0.0000290, 0.0000638, 0.0000348,, 0.2152
 0.2224,   0.2224, 0.2185, 0.2893, 0.0000260, 0.0000594, 0.0000334,, 0.2185
 0.2303,   0.2303, 0.2020, 0.2884, 0.0000285, 0.0000551, 0.0000266,, 0.2020
 0.2382,   0.2382, 0.2054, 0.2906, 0.0000266, 0.0000523, 0.0000257,, 0.2054
 0.2461,   0.2461, 0.2070, 0.2925, 0.0000252, 0.0000497, 0.0000245,, 0.2070
 0.2539,   0.2539, 0.2035, 0.2971, 0.0000259, 0.0000481, 0.0000222,, 0.2035
 0.2618,   0.2618, 0.2106, 0.3021, 0.0000244, 0.0000468, 0.0000224,, 0.2106
 0.2697,   0.2697, 0.1978, 0.3026, 0.0000257, 0.0000443, 0.0000187,, 0.1978
 0.2776,   0.2776, 0.2071, 0.3094, 0.0000244, 0.0000438, 0.0000193,, 0.2071
 0.2854,   0.2854, 0.2019, 0.3099, 0.0000242, 0.0000415, 0.0000174,, 0.2019
 0.2933,   0.2933, 0.2067, 0.3115, 0.0000225, 0.0000398, 0.0000172,, 0.2067
 0.3012,   0.3012, 0.2046, 0.3170, 0.0000230, 0.0000391, 0.0000160,, 0.2046
 0.3091,   0.3091, 0.2059, 0.3251, 0.0000236, 0.0000390, 0.0000154,, 0.2059
 0.3169,   0.3169, 0.2111, 0.3304, 0.0000229, 0.0000383, 0.0000154,, 0.2111
 0.3248,   0.3248, 0.2115, 0.3311, 0.0000219, 0.0000367, 0.0000147,, 0.2115
 0.3327,   0.3327, 0.2182, 0.3356, 0.0000210, 0.0000359, 0.0000150,, 0.2182
 0.3406,   0.3406, 0.2118, 0.3436, 0.0000225, 0.0000360, 0.0000134,, 0.2118
 0.3484,   0.3484, 0.2184, 0.3475, 0.0000215, 0.0000351, 0.0000137,, 0.2184
 0.3563,   0.3563, 0.2195, 0.3575, 0.0000224, 0.0000356, 0.0000132,, 0.2195
 0.3642,   0.3642, 0.2189, 0.3614, 0.0000222, 0.0000348, 0.0000126,, 0.2189
 0.3721,   0.3721, 0.2276, 0.3673, 0.0000214, 0.0000344, 0.0000130,, 0.2276
 0.3799,   0.3799, 0.2371, 0.3738, 0.0000207, 0.0000342, 0.0000136,, 0.2371
 0.3878,   0.3878, 0.2277, 0.3735, 0.0000208, 0.0000328, 0.0000120,, 0.2277
 0.3957,   0.3957, 0.2346, 0.3816, 0.0000206, 0.0000329, 0.0000123,, 0.2346
 0.4036,   0.4036, 0.2395, 0.3913, 0.0000210, 0.0000333, 0.0000123,, 0.2395
 0.4114,   0.4114, 0.2546, 0.4025, 0.0000205, 0.0000339, 0.0000133,, 0.2546
 0.4193,   0.4193, 0.2679, 0.4102, 0.0000196, 0.0000339, 0.0000142,, 0.2679
 0.4272,   0.4272, 0.2797, 0.4193, 0.0000192, 0.0000341, 0.0000149,, 0.2797
 0.4351,   0.4351, 0.2865, 0.4338, 0.0000201, 0.0000352, 0.0000151,, 0.2865
 0.4429,   0.4429, 0.2982, 0.4542, 0.0000214, 0.0000372, 0.0000158,, 0.2982
 0.4508,   0.4508, 0.3379, 0.4784, 0.0000203, 0.0000399, 0.0000196,, 0.3379
 0.4587,   0.4587, 0.3580, 0.5004, 0.0000209, 0.0000422, 0.0000212,, 0.3580
 0.4665,   0.4665, 0.3986, 0.5309, 0.0000204, 0.0000459, 0.0000255,, 0.3986
 0.4744,   0.4744, 0.4422, 0.5775, 0.0000222, 0.0000525, 0.0000303,, 0.4422
 0.4823,   0.4823, 0.5036, 0.6287, 0.0000221, 0.0000602, 0.0000381,, 0.5036
 0.4902,   0.4902, 0.5940, 0.7058, 0.0000222, 0.0000735, 0.0000513,, 0.5940
 0.4980,   0.4980, 0.6813, 0.8398, 0.0000354, 0.0001008, 0.0000653,, 0.6813

MTFnn C/P, Mean,  Seg 1,
MTF70 C/P,0.0556, 0.0556, 
MTF50 C/P,0.0845, 0.0845, 
MTF30 C/P,0.1407, 0.1407, 
MTF20 C/P,0.2683, 0.2683, 
MTF10 C/P,0.0000, 0.0000, 
MTFnnP C/P, Mean,  Seg 1,
MTF70P C/P,0.0556, 0.0556, 
MTF50P C/P,0.0845, 0.0845, 
MTF30P C/P,0.1407, 0.1407, 
MTF20P C/P,0.2683, 0.2683, 
MTF10P C/P,0.0000, 0.0000, 
Undersharpening %,27.069

Acutance (CPIQ), Region, 1 of 1
Print height ,Viewing dist (cm),Acutance
   40,  1.00,  0.00
   40,  2.00,  0.00
   40,  3.00,  0.01
   40,  4.00,  0.01
   40,  5.00,  0.02
   40,  6.00,  0.02
   40,  7.00,  0.03
   40,  8.00,  0.04
   40,  9.00,  0.04
   40, 10.00,  0.05
   40, 11.00,  0.06
   40, 12.00,  0.07
   40, 13.00,  0.07
   40, 14.00,  0.08
   40, 15.00,  0.09
   40, 16.00,  0.10
   40, 17.00,  0.10
   40, 18.00,  0.11
   40, 19.00,  0.12
   40, 20.00,  0.12
   40, 21.00,  0.13
   40, 22.00,  0.14
   40, 23.00,  0.15
   40, 24.00,  0.15
   40, 25.00,  0.16
   40, 26.00,  0.17
   40, 27.00,  0.17
   40, 28.00,  0.18
   40, 29.00,  0.19
   40, 30.00,  0.19
   40, 31.00,  0.20
   40, 32.00,  0.21
   40, 33.00,  0.21
   40, 34.00,  0.22
   40, 35.00,  0.23
   40, 36.00,  0.23
   40, 37.00,  0.24
   40, 38.00,  0.24
   40, 39.00,  0.25
   40, 40.00,  0.26
   40, 41.00,  0.26
   40, 42.00,  0.27
   40, 43.00,  0.27
   40, 44.00,  0.28
   40, 45.00,  0.29
   40, 46.00,  0.29
   40, 47.00,  0.30
   40, 48.00,  0.30
   40, 49.00,  0.31
   40, 50.00,  0.31
   40, 51.00,  0.32
   40, 52.00,  0.32
   40, 53.00,  0.33
   40, 54.00,  0.33
   40, 55.00,  0.34
   40, 56.00,  0.35
   40, 57.00,  0.35
   40, 58.00,  0.36
   40, 59.00,  0.36
   40, 60.00,  0.37
   40, 61.00,  0.37
   40, 62.00,  0.37
   40, 63.00,  0.38
   40, 64.00,  0.38
   40, 65.00,  0.39
   40, 66.00,  0.39
   40, 67.00,  0.40
   40, 68.00,  0.40
   40, 69.00,  0.41
   40, 70.00,  0.41
   40, 71.00,  0.42
   40, 72.00,  0.42
   40, 73.00,  0.42
   40, 74.00,  0.43
   40, 75.00,  0.43
   40, 76.00,  0.44
   40, 77.00,  0.44
   40, 78.00,  0.45
   40, 79.00,  0.45
   40, 80.00,  0.45
   40, 81.00,  0.46
   40, 82.00,  0.46
   40, 83.00,  0.47
   40, 84.00,  0.47
   40, 85.00,  0.47
   40, 86.00,  0.48
   40, 87.00,  0.48
   40, 88.00,  0.48
   40, 89.00,  0.49
   40, 90.00,  0.49
   40, 91.00,  0.49
   40, 92.00,  0.50
   40, 93.00,  0.50
   40, 94.00,  0.51
   40, 95.00,  0.51
   40, 96.00,  0.51
   40, 97.00,  0.52
   40, 98.00,  0.52
   40, 99.00,  0.52
   40,100.00,  0.53
Use unnormalized MTF for Acutance calculation
CPIQ Results
Computer Monitor Acutance,0.330,
Computer Monitor Quality Loss,25.911,
5.5" Phone Display Acutance,0.777,
5.5" Phone Display Quality Loss,2.549,
UHDTV Display Acutance,0.453,
UHDTV Display Quality Loss,16.890,
Small Print Acutance,0.495,
Small Print Quality Loss,14.229,
Large Print Acutance,0.433,
Large Print Quality Loss,18.187,
Gamma, 0.5
Color channel, R
Max detected f (c/p), 0.498

Exif data














































































































































































